43.84100548	-79.08828674
43.91920416	-78.71337833
43.55706728	-79.58803656
43.62979952	-79.68914851
43.60440304	-79.75036594
43.56853093	-79.71528629
43.64488853	-79.39396611
43.66823727	-79.51756229
43.65631564	-79.5615076
43.75906181	-79.66862429
43.68246878	-79.49970962
43.71225542	-79.36238053
43.70778837	-79.37611344
43.71721842	-79.39945939
43.74153119	-79.40460923
43.77401549	-79.41078904
43.77624658	-79.38915971
43.84834057	-79.41456559
43.88506673	-79.28604063
43.65053014	-79.36766613
43.66958776	-79.32900178
43.6944765	-79.27334212
43.6806507	-79.36214265
43.66620701	-79.37616378
43.65698582	-79.4054807
43.65883017	-79.44881876
43.67972886	-79.42375067
43.69109715	-79.41100418
43.69539811	-79.39528351
